id,source_group,source_name,label_hint,accession,input_len,predicted_species,confidence,is_match,is_uncertain,is_novel,status,header
1,uploaded_zip,ncbi_dataset.zip:gene.fna,Delphinus delphis,,1541,Delphinus delphis,98.08,True,False,False,tested,NC_036415.1:5362-6912 COX1 [organism=Delphinus delphis] [GeneID=35116565] [chromosome=MT]
2,workspace_extract,_ncbi_extract/ncbi_dataset/data/gene.fna,Delphinus delphis,,1541,Delphinus delphis,98.08,True,False,False,tested,NC_036415.1:5362-6912 COX1 [organism=Delphinus delphis] [GeneID=35116565] [chromosome=MT]
3,ncbi_accession,NCBI accession EF090639.1 (FASTA),Delphinus delphis,EF090639.1,756,Delphinus delphis,92.75,True,False,False,tested,"EF090639.1 Delphinus delphis isolate H11 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
4,ncbi_accession,NCBI accession NC_012061.1 (FASTA),Delphinus capensis,NC_012061.1,16385,Putative novel / unrecognised species,0.0,False,False,True,tested,"NC_012061.1 Delphinus capensis mitochondrion, complete genome"
5,ncbi_accession,NCBI accession NC_012053.1 (FASTA),Stenella coeruleoalba,NC_012053.1,16384,Putative novel / unrecognised species,0.0,False,False,True,tested,"NC_012053.1 Stenella coeruleoalba mitochondrion, complete genome"
6,ncbi_esearch,NCBI esearch Delphinus delphis,Delphinus delphis,126467985,756,Delphinus delphis,92.75,True,False,False,tested,"EF090639.1 Delphinus delphis isolate H11 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
7,ncbi_esearch,NCBI esearch Delphinus delphis,Delphinus delphis,126467983,756,Delphinus delphis,93.18,True,False,False,tested,"EF090638.1 Delphinus delphis isolate H10 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
8,ncbi_esearch,NCBI esearch Delphinus delphis,Delphinus delphis,2784311518,4672,Putative novel / unrecognised species,0.0,False,False,True,tested,"PP623006.1 Delphinus delphis cytochrome c oxidase subunit I (COX1) gene, partial cds; tRNA-Ser and tRNA-Asp genes, complete sequence; cytochrome c oxidase subunit II (COX2) gene, complete cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8), ATP synthase F0 subunit 6 (ATP6), and cytochrome c oxidase subunit III (COX3) genes, complete cds; tRNA-Gly gene, complete sequence; NADH dehydrogenase subunit 3 (ND3) gene, complete cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (ND4L) gene, complete cds; and NADH dehydrogenase subunit 4 (ND4) gene, partial cds; mitochondrial"
9,ncbi_esearch,NCBI esearch Delphinus capensis,Delphinus capensis,222839860,16385,Putative novel / unrecognised species,0.0,False,False,True,tested,"NC_012061.1 Delphinus capensis mitochondrion, complete genome"
10,ncbi_esearch,NCBI esearch Delphinus capensis,Delphinus capensis,170026983,16385,Putative novel / unrecognised species,0.0,False,False,True,tested,"EU557094.1 Delphinus capensis mitochondrion, complete genome"
11,ncbi_esearch,NCBI esearch Delphinus capensis,Delphinus capensis,186972598,686,Delphinus delphis,92.36,True,False,False,tested,"EU496373.1 Delphinus capensis voucher SEFSC:MMMGL:2Dc07 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial"
12,model_reference,backend fallback reference,Delphinus delphis,,282,Delphinus delphis,100.0,True,False,False,tested,
